"さい";才;"さい:on"
"おう";王;"おう:on"
"ひ";引;"ひ:kun, いん:on"
"ない";内;"ない:on, うち:kun"
"たい";太;"たい:on, た:on, ふと:kun, おお:nan"
"し";市;"し:on, いち:kun"
"へい";平;"へい:on, ひょう:on, びょう:on, たい:kun, ひら:kun"
"もう";申;"もう:kun, しん:on"
"れい";礼;"れい:on"
"せき";石;"せき:on, いし:kun"
"た";他;"た:on, ほか:kun"
"ごう";号;"ごう:on"
"だ";打;"だ:on, う:kun, ぶ:kun"
"みみ";耳;"みみ:kun, じ:on"
"こう";光;"こう:on, ひかり:kun, ひか:kun"
"かい";回;"かい:on, まわ:kun"
"とう";当;"とう:on, あ:kun"
"こえ";声;"こえ:kun, せい:on"
"けい";形;"けい:on, ぎょう:on, かた:kun, かたち:kun"
"こう";交;"こう:on, まじ:kun, ま:kun, か:kun"
"べい";米;"べい:on, まい:on, こめ:kun"
"くさ";草;"くさ:kun, そう:on"
"か";化;"か:on, ば:kun"
"りょう";両;"りょう:on"
"ぜん";全;"ぜん:on, すべ:kun, まった:kun"
"こう";向;"こう:on, む:kun, なた:nan"
"きょく";曲;"きょく:on, ま:kun"
"じ";次;"じ:on, つぎ:kun"
"ちょく";直;"ちょく:on, じき:on, なお:kun"
"かつ";活;"かつ:on, い:kun"
"てん";点;"てん:on, つ:kun"
"か";科;"か:on"
"くび";首;"くび:kun, しゅ:on"
"ぼう";亡;"ぼう:on, な:kun"
"けつ";欠;"けつ:on, か:kun"
"みん";民;"みん:on, たみ:kun"
"しつ";失;"しつ:on, うしな:kun"
"ひつ";必;"ひつ:on, かなら:kun"
"ゆう";由;"ゆう:on, よし:kun, よ:kun"
"つ";付;"つ:kun, ふ:on"
"み";未;"み:on, ま:kun, いま:kun, ひつじ:kun"
"まつ";末;"まつ:on, すえ:kun"
"き";記;"き:on, しる:kun"
"そ";組;"そ:on, くみ:kun"
"せん";船;"せん:on, ふね:kun"
"ゆき";雪;"ゆき:kun, せつ:on"
"じょ";助;"じょ:on, たす:kun, すけ:kun"
"とう";投;"とう:on, な:kun"
"ばん";番;"ばん:on"
"はん";反;"はん:on"
"し";支;"し:on, ささ:kun"
"くん";君;"くん:on, きみ:kun"
"たい";対;"たい:on"
"きょく";局;"きょく:on"
"やく";役;"やく:on"
"けつ";決;"けつ:on, き:kun"
"ば";馬;"ば:on, うま:kun"
"え";絵;"え:on"
"すう";数;"すう:on, かぞ:kun, かず:kun"
"しょ";所;"しょ:on, ところ:kun"
"わ";和;"わ:on, お:on, なご:kun, やわ:kun, かず:nan, より:nan"
"しょう";勝;"しょう:on, か:kun"
"てい";定;"てい:on, じょう:on, さだ:kun"
"じつ";実;"じつ:on, み:kun"
"およ";泳;"およ:kun, えい:on"
"ぶ";部;"ぶ:on, へ:kun"
"そう";相;"そう:on, しょう:on, あい:kun"
"び";美;"び:on, み:on, うつく:kun"
"へん";返;"へん:on, かえ:kun"
"ぐ";具;"ぐ:on"
"じゅ";受;"じゅ:on, う:kun"
"く";苦;"く:on, くる:kun, にが:kun"
"ひょう";表;"ひょう:on, あらわ:kun, おもて:kun"
"の";乗;"の:kun, じょう:on"
"きゃく";客;"きゃく:on"
"ふ";負;"ふ:on, ま:kun, お:kun"
"だん";談;"だん:on"
"よう";要;"よう:on, い:kun, かなめ:kun"
"よ";予;"よ:on, あらかじ:kun"
"ろ";路;"ろ:on, じ:kun, みち:kun"
"よこ";横;"よこ:kun, おう:on"
"あたま";頭;"あたま:kun, ず:on, とう:on"
"そく";速;"そく:on, はや:kun"
"らく";落;"らく:on, お:kun"
"はい";配;"はい:on, くば:kun"
"しゅ";酒;"しゅ:on, さけ:kun, さか:kun"
"しん";進;"しん:on, すす:kun"
"は";葉;"は:kun, よう:on, ば:kun"
"な";鳴;"な:kun, めい:on"
"ちょう";調;"ちょう:on, しら:kun"
"かお";顔;"かお:kun, がん:on"
"さい";最;"さい:on, もっと:kun"
"きゅう";求;"きゅう:on, もと:kun"
"でん";伝;"でん:on, つた:kun, つて:kun"
"こう";好;"こう:on, す:kun, この:kun"
"ろう";老;"ろう:on"
"いく";育;"いく:on, そだ:kun, はぐく:kun"
"ほう";放;"ほう:on, はな:kun, ほう:kun"
"そう";争;"そう:on, あらそ:kun"
"きょう";共;"きょう:on, とも:kun"
"せい";成;"せい:on, な:kun"
"しょ";初;"しょ:on, はじ:kun, はつ:kun, そ:kun, ぞ:kun"
"り";利;"り:on, き:kun"
"ろう";労;"ろう:on, いたわ:kun"
"めい";命;"めい:on, みょう:on, いのち:kun"
