id	Kanji	JLPT-test	"Reading within Joyo"
1	亜	1	ア
2	哀	1	アイ、あわ-れ、あわ-れむ
7	握	1	アク、にぎ-る
9	扱	1	あつか-う
11	嵐	1	あらし
13	案	1	アン
22	威	1	イ
23	為	1	イ
26	尉	1	イ
27	異	1	イ、こと
35	維	1	イ
36	慰	1	イ、なぐさ-める、なぐさ-む
37	遺	1	イ、[ユイ]
38	緯	1	イ
42	壱	1	イチ
43	逸	1	イツ
45	芋	1	いも
50	姻	1	イン
54	陰	1	イン、かげ、かげ-る
56	隠	1	イン、かく-す、かく-れる
57	韻	1	イン
62	唄	1	[うた]
64	畝	1	うね
65	浦	1	うら
74	詠	1	エイ、よ-む
75	影	1	エイ、かげ
77	衛	1	エイ
79	疫	1	エキ、[ヤク]
80	益	1	エキ、[ヤク]
83	悦	1	エツ
85	謁	1	エツ
86	閲	1	エツ
89	沿	1	エン、そ-う
90	炎	1	エン、ほのお
92	宴	1	エン
93	媛	1	エン
94	援	1	エン
97	猿	1	エン、さる
99	鉛	1	エン、なまり
102	縁	1	エン、ふち
103	艶	1	エン、つや
106	凹	1	オウ
108	応	1	オウ、こた-える
109	往	1	オウ
111	旺	1	オウ
113	殴	1	オウ、なぐ-る
114	桜	1	オウ、さくら
115	翁	1	オウ
118	岡	1	[おか]
121	憶	1	オク
123	虞	1	おそれ
124	乙	1	オツ
126	卸	1	おろ-す、おろし
128	恩	1	オン
130	穏	1	オン、おだ-やか
136	仮	1	カ、[ケ]、かり
139	佳	1	カ
140	価	1	カ、あたい
145	架	1	カ、か-ける、か-かる
149	華	1	カ、[ケ]、はな
152	渦	1	カ、うず
154	嫁	1	カ、よめ、とつ-ぐ
155	暇	1	カ、ひま
156	禍	1	カ
158	寡	1	カ
160	箇	1	カ
161	稼	1	カ、かせ-ぐ
163	蚊	1	か
166	我	1	ガ、われ、わ
168	芽	1	ガ、め
169	賀	1	ガ
170	雅	1	ガ
171	餓	1	ガ
177	戒	1	カイ、いまし-める
179	怪	1	カイ、あや-しい、あや-しむ
180	拐	1	カイ
181	悔	1	カイ、く-いる、く-やむ、くや-しい
189	塊	1	カイ、かたまり
193	壊	1	カイ、こわ-す、こわ-れる
194	懐	1	カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける
198	劾	1	ガイ
201	涯	1	ガイ
202	街	1	ガイ、[カイ]、まち
203	慨	1	ガイ
205	該	1	ガイ
206	概	1	ガイ
208	垣	1	かき
212	拡	1	カク
215	核	1	カク
216	殻	1	カク、から
217	郭	1	カク
219	較	1	カク
220	隔	1	カク、へだ-てる、へだ-たる
221	閣	1	カク
223	獲	1	カク、え-る
224	嚇	1	カク
225	穫	1	カク
227	岳	1	ガク、たけ
232	潟	1	かた
233	括	1	カツ
235	喝	1	カツ
236	渇	1	カツ、かわ-く
239	滑	1	カツ、コツ、すべ-る、なめ-らか
240	褐	1	カツ
241	轄	1	カツ
242	且	1	か-つ
243	株	1	かぶ
245	鎌	1	かま
246	刈	1	か-る
253	肝	1	カン、きも
255	冠	1	カン、かんむり
257	看	1	カン
258	陥	1	カン、おちい-る、おとしい-れる
260	勘	1	カン
262	貫	1	カン、つらぬ-く
264	喚	1	カン
265	堪	1	カン、た-える
267	敢	1	カン
268	棺	1	カン
269	款	1	カン
271	閑	1	カン
272	勧	1	カン、すす-める
273	寛	1	カン
274	幹	1	カン、みき
280	歓	1	カン
281	監	1	カン
282	緩	1	カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める
283	憾	1	カン
284	還	1	カン
286	環	1	カン
290	艦	1	カン
291	鑑	1	カン、かんが-みる
297	眼	1	ガン、[ゲン]、まなこ
298	頑	1	ガン
301	企	1	キ、くわだ-てる
302	伎	1	キ
306	岐	1	キ
308	忌	1	キ、い-む、い-まわしい
309	汽	1	キ
310	奇	1	キ
313	紀	1	キ
314	軌	1	キ
315	既	1	キ、すで-に
318	飢	1	キ、う-える
319	鬼	1	キ、おに
321	基	1	キ、もと、もとい
324	亀	1	キ、かめ
327	揮	1	キ
329	棋	1	キ
330	貴	1	キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
331	棄	1	キ
333	旗	1	キ、はた
334	器	1	キ、うつわ
336	輝	1	キ、かがや-く
338	騎	1	キ
340	宜	1	ギ
341	偽	1	ギ、いつわ-る、にせ
342	欺	1	ギ、あざむ-く
343	義	1	ギ
345	儀	1	ギ
346	戯	1	ギ、たわむ-れる
347	擬	1	ギ
348	犠	1	ギ
350	菊	1	キク
351	吉	1	キチ、キツ
354	却	1	キャク
356	脚	1	キャク、[キャ]、あし
358	虐	1	ギャク、しいた-げる
361	及	1	キュウ、およ-ぶ、およ-び、およ-ぼす
362	弓	1	キュウ、ゆみ
363	丘	1	キュウ、おか
367	朽	1	キュウ、く-ちる
371	泣	1	キュウ、な-く
373	級	1	キュウ
374	糾	1	キュウ
375	宮	1	キュウ、グウ、[ク]、みや
376	救	1	キュウ、すく-う
380	窮	1	キュウ、きわ-める、きわ-まる
385	拒	1	キョ、こば-む
386	拠	1	キョ、コ
387	挙	1	キョ、あ-げる、あ-がる
388	虚	1	キョ、[コ]
390	距	1	キョ
394	凶	1	キョウ
397	狂	1	キョウ、くる-う、くる-おしい
399	享	1	キョウ
403	峡	1	キョウ
405	狭	1	キョウ、せま-い、せば-める、せば-まる
407	恭	1	キョウ、うやうや-しい
409	脅	1	キョウ、おびや-かす、おど-す、おど-かす
412	郷	1	キョウ、ゴウ
415	矯	1	キョウ、た-める
416	鏡	1	キョウ、かがみ
418	響	1	キョウ、ひび-く
419	驚	1	キョウ、おどろ-く、おどろ-かす
420	仰	1	ギョウ、[コウ]、あお-ぐ、おお-せ
421	暁	1	ギョウ、あかつき
423	凝	1	ギョウ、こ-る、こ-らす
429	斤	1	キン
433	菌	1	キン
435	琴	1	キン、こと
436	筋	1	キン、すじ
439	緊	1	キン
440	錦	1	キン、にしき
441	謹	1	キン、つつし-む
442	襟	1	キン、えり
443	吟	1	ギン
446	句	1	ク
448	駆	1	ク、か-ける、か-る
451	愚	1	グ、おろ-か
454	遇	1	グウ
457	屈	1	クツ
460	熊	1	くま
461	繰	1	く-る
464	勲	1	クン
465	薫	1	クン、かお-る
467	郡	1	グン
470	刑	1	ケイ
472	系	1	ケイ
473	径	1	ケイ
474	茎	1	ケイ、くき
477	契	1	ケイ、ちぎ-る
479	恵	1	ケイ、エ、めぐ-む
480	啓	1	ケイ
481	掲	1	ケイ、かか-げる
482	渓	1	ケイ
484	蛍	1	ケイ、ほたる
489	携	1	ケイ、たずさ-える、たずさ-わる
490	継	1	ケイ、つ-ぐ
492	慶	1	ケイ
495	憩	1	ケイ、いこ-い、いこ-う
497	鶏	1	ケイ、にわとり
500	鯨	1	ゲイ、くじら
503	撃	1	ゲキ、う-つ
504	激	1	ゲキ、はげ-しい
507	穴	1	ケツ、あな
510	結	1	ケツ、むす-ぶ、ゆ-う、ゆ-わえる
511	傑	1	ケツ
512	潔	1	ケツ、いさぎよ-い
522	倹	1	ケン
523	兼	1	ケン、か-ねる
524	剣	1	ケン、つるぎ
525	拳	1	ケン、こぶし
527	健	1	ケン、すこ-やか
529	圏	1	ケン
530	堅	1	ケン、かた-い
531	検	1	ケン
532	嫌	1	ケン、[ゲン]、きら-う、いや
533	献	1	ケン、[コン]
534	絹	1	ケン、きぬ
535	遣	1	ケン、つか-う、つか-わす
537	憲	1	ケン
539	謙	1	ケン
541	繭	1	ケン、まゆ
542	顕	1	ケン
544	懸	1	ケン、[ケ]、か-ける、か-かる
546	幻	1	ゲン、まぼろし
547	玄	1	ゲン
549	弦	1	ゲン、つる
555	源	1	ゲン、みなもと
556	厳	1	ゲン、[ゴン]、おごそ-か、きび-しい
557	己	1	コ、キ、おのれ
563	虎	1	コ、とら
564	孤	1	コ
565	弧	1	コ
566	故	1	コ、ゆえ
572	誇	1	コ、ほこ-る
573	鼓	1	コ、つづみ
575	顧	1	コ、かえり-みる
579	呉	1	ゴ
581	娯	1	ゴ
582	悟	1	ゴ、さと-る
583	碁	1	ゴ
586	護	1	ゴ
591	孔	1	コウ
592	功	1	コウ、[ク]
593	巧	1	コウ、たく-み
595	甲	1	コウ、カン
599	后	1	コウ
601	江	1	コウ、え
604	坑	1	コウ
605	孝	1	コウ
606	抗	1	コウ
607	攻	1	コウ、せ-める
611	拘	1	コウ
613	侯	1	コウ
615	恒	1	コウ
616	洪	1	コウ
617	皇	1	コウ、オウ
626	貢	1	コウ、[ク]、みつ-ぐ
629	康	1	コウ
630	控	1	コウ、ひか-える
637	絞	1	コウ、しぼ-る、し-める、し-まる
638	項	1	コウ
639	溝	1	コウ、みぞ
642	綱	1	コウ、つな
643	酵	1	コウ
644	稿	1	コウ
645	興	1	コウ、キョウ、おこ-る、おこ-す
646	衡	1	コウ
647	鋼	1	コウ、はがね
649	購	1	コウ
653	拷	1	ゴウ
654	剛	1	ゴウ
656	豪	1	ゴウ
657	克	1	コク
663	穀	1	コク
664	酷	1	コク
665	獄	1	ゴク
667	駒	1	こま
672	昆	1	コン
673	恨	1	コン、うら-む、うら-めしい
678	紺	1	コン
679	魂	1	コン、たましい
680	墾	1	コン
681	懇	1	コン、ねんご-ろ
683	佐	1	サ
684	沙	1	サ
687	唆	1	サ、そそのか-す
689	詐	1	サ
690	鎖	1	サ、くさり
695	災	1	サイ、わざわ-い
697	采	1	サイ
698	砕	1	サイ、くだ-く、くだ-ける
699	宰	1	サイ
700	栽	1	サイ
701	彩	1	サイ、いろど-る
705	斎	1	サイ
709	裁	1	サイ、た-つ、さば-く
710	債	1	サイ
711	催	1	サイ、もよお-す
714	載	1	サイ、の-せる、の-る
719	剤	1	ザイ
722	崎	1	さき
724	削	1	サク、けず-る
727	索	1	サク
728	策	1	サク
729	酢	1	サク、す
730	搾	1	サク、しぼ-る
731	錯	1	サク
740	撮	1	サツ、と-る
741	擦	1	サツ、す-る、す-れる
747	桟	1	サン
748	蚕	1	サン、かいこ
749	惨	1	サン、ザン、みじ-め
751	傘	1	サン、かさ
754	酸	1	サン、す-い
758	暫	1	ザン
759	士	1	シ
763	氏	1	シ、うじ
766	司	1	シ
769	矢	1	シ、や
770	旨	1	シ、むね
773	至	1	シ、いた-る
775	志	1	シ、こころざ-す、こころざし
782	祉	1	シ
783	肢	1	シ
784	姿	1	シ、すがた
787	施	1	シ、セ、ほどこ-す
792	視	1	シ
793	紫	1	シ、むらさき
796	嗣	1	シ
798	詩	1	シ
800	飼	1	シ、か-う
802	雌	1	シ、め、めす
804	賜	1	シ、たまわ-る
805	諮	1	シ、はか-る
815	侍	1	ジ、さむらい
819	滋	1	ジ
820	慈	1	ジ、いつく-しむ
822	磁	1	ジ
825	鹿	1	しか、[か]
828	軸	1	ジク
833	疾	1	シツ
834	執	1	シツ、シュウ、と-る
837	漆	1	シツ、うるし
840	芝	1	しば
844	舎	1	シャ
846	射	1	シャ、い-る
848	赦	1	シャ
849	斜	1	シャ、なな-め
850	煮	1	シャ、に-る、に-える、に-やす
851	遮	1	シャ、さえぎ-る
852	謝	1	シャ、あやま-る
853	邪	1	ジャ
854	蛇	1	ジャ、ダ、へび
855	尺	1	シャク
857	酌	1	シャク、く-む
858	釈	1	シャク
859	爵	1	シャク
862	寂	1	ジャク、[セキ]、さび、さび-しい、さび-れる
866	朱	1	シュ
868	狩	1	シュ、か-る、か-り
870	殊	1	シュ、こと
871	珠	1	シュ
875	趣	1	シュ、おもむき
879	授	1	ジュ、さず-ける、さず-かる
880	需	1	ジュ
881	儒	1	ジュ
882	樹	1	ジュ
884	囚	1	シュウ
887	秀	1	シュウ、ひい-でる
889	宗	1	シュウ、ソウ
892	臭	1	シュウ、くさ-い、にお-う
893	修	1	シュウ、[シュ]、おさ-める、おさ-まる
899	就	1	シュウ、[ジュ]、つ-く、つ-ける
900	衆	1	シュウ、[シュ]
902	愁	1	シュウ、うれ-える、うれ-い
903	酬	1	シュウ
904	醜	1	シュウ、みにく-い
906	襲	1	シュウ、おそ-う
908	汁	1	ジュウ、しる
909	充	1	ジュウ、あ-てる
913	従	1	ジュウ、[ショウ]、[ジュ]、したが-う、したが-える
914	渋	1	ジュウ、しぶ、しぶ-い、しぶ-る
915	銃	1	ジュウ
916	獣	1	ジュウ、けもの
917	縦	1	ジュウ、たて
918	叔	1	シュク
921	淑	1	シュク
922	粛	1	シュク
923	縮	1	シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす
924	塾	1	ジュク
925	熟	1	ジュク、う-れる
929	俊	1	シュン
931	瞬	1	シュン、またた-く
932	旬	1	ジュン、[シュン]
933	巡	1	ジュン、めぐ-る
934	盾	1	ジュン、たて
935	准	1	ジュン
936	殉	1	ジュン
938	循	1	ジュン
941	潤	1	ジュン、うるお-う、うるお-す、うる-む
942	遵	1	ジュン
947	庶	1	ショ
948	暑	1	ショ、あつ-い
953	如	1	ジョ、ニョ
955	序	1	ジョ
956	叙	1	ジョ
957	徐	1	ジョ
960	升	1	ショウ、ます
963	匠	1	ショウ
965	抄	1	ショウ
966	肖	1	ショウ
967	尚	1	ショウ
971	松	1	ショウ、まつ
972	沼	1	ショウ、ぬま
973	昭	1	ショウ
974	宵	1	ショウ、よい
977	症	1	ショウ
978	祥	1	ショウ
979	称	1	ショウ
981	唱	1	ショウ、とな-える
983	渉	1	ショウ
986	訟	1	ショウ
988	掌	1	ショウ
989	晶	1	ショウ
991	焦	1	ショウ、こ-げる、こ-がす、こ-がれる、あせ-る
992	硝	1	ショウ
994	詔	1	ショウ、みことのり
995	証	1	ショウ
997	傷	1	ショウ、きず、いた-む、いた-める
998	奨	1	ショウ
1000	詳	1	ショウ、くわ-しい
1001	彰	1	ショウ
1002	障	1	ショウ、さわ-る
1003	憧	1	ショウ、あこが-れる
1004	衝	1	ショウ
1006	償	1	ショウ、つぐな-う
1007	礁	1	ショウ
1008	鐘	1	ショウ、かね
1011	冗	1	ジョウ
1012	条	1	ジョウ
1016	浄	1	ジョウ
1017	剰	1	ジョウ
1023	縄	1	ジョウ、なわ
1024	壌	1	ジョウ
1025	嬢	1	ジョウ
1026	錠	1	ジョウ
1027	譲	1	ジョウ、ゆず-る
1028	醸	1	ジョウ、かも-す
1033	殖	1	ショク、ふ-える、ふ-やす
1034	飾	1	ショク、かざ-る
1036	嘱	1	ショク
1037	織	1	ショク、シキ、お-る
1039	辱	1	ジョク、はずかし-める
1048	侵	1	シン、おか-す
1050	津	1	シン、つ
1052	唇	1	シン、くちびる
1053	娠	1	シン
1054	振	1	シン、ふ-る、ふ-るう、ふ-れる
