とう	刀	とう:on, かたな:kun
すい	水	すい:on, みず:kun
しゅつ	出	しゅつ:on, で:kun, だ:kun
たま	玉	たま:kun, ぎょく:on
ゆう	夕	ゆう:kun, せき:on
りょう	了	りょう:on
また	又	また:kun
もく	木	もく:on, ぼく:on, き:kun, こ:kun
か	火	か:on, ひ:kun, ほ:kun
ど	土	ど:on, と:on, つち:kun
せん	千	せん:on, ち:kun
し	子	し:on, す:on, こ:kun
しょう	小	しょう:on, ちい:kun, こ:kun, お:kun
ちょう	丁	ちょう:on, てい:on
まる	丸	まる:kun, がん:on
さい	才	さい:on
ちゅう	中	ちゅう:on, なか:kun
ご	五	ご:on, いつ:kun
ろく	六	ろく:on, む:kun
えん	円	えん:on, まる:kun
てん	天	てん:on, あま:kun
て	手	て:kun, しゅ:on, ず:on
ぶん	文	ぶん:on, もん:on
にち	日	にち:on, じつ:on, ひ:kun, か:kun, び:kun
げつ	月	げつ:on, がつ:on, つき:kun
いぬ	犬	いぬ:kun, けん:on
おう	王	おう:on
ゆう	右	ゆう:on, う:on, みぎ:kun
し	四	し:on, よん:kun, よ:kun
さ	左	さ:on, ひだり:kun
ほん	本	ほん:on, もと:kun
せい	正	せい:on, しょう:on, ただ:kun, まさ:kun
た	田	た:kun, でん:on
はく	白	はく:on, しろ:kun, しら:kun
め	目	め:kun, もく:on
りつ	立	りつ:on, りゅう:on, た:kun
のま	々	のま:kun
