とう	刀	Sword
また	又	Again
ちょう	丁	Street
や	矢	Arrow
よう	羊	Sheep
し	氏	Family Name
か	仮	Temporary
ほ	保	Preserve
きゅう	級	Level
こう	功	Achievement
だい	第	Ordinal Number Prefix
あつ	暑	Hot
ぼく	僕	I
かがみ	鏡	Mirror
よう	養	Foster
せい	整	Arrange
し	詩	Poem
き	器	Container
し	士	Samurai
ひょう	標	Signpost
しゃ	謝	Apologize
まつ	松	Pine
き	基	Foundation
だ	妥	Gentle
ふん	雰	Atmosphere
がん	頑	Stubborn
し	司	Director
な	泣	Cry
き	紀	Account
べん	弁	Dialect
しょう	証	Evidence
ぼう	冒	Dare
じょう	冗	Superfluous
てん	典	Rule
うめ	梅	Ume
けつ	結	Bind
ぜ	是	Absolutely
しょう	渉	Ford
きょ	虚	Void
げん	幻	Illusion
しょう	詳	Detailed
きゅう	弓	Bow
き	汽	Steam
そう	僧	Priest
ぜん	禅	Zen
く	句	Paragraph
せつ	節	Season
こん	昆	Insect
ばつ	閥	Clique
した	舌	Tongue
ちゅう	宙	Midair
り	履	Boots
ぜん	善	Morally Good
てき	笛	Flute
さい	災	Disaster
りつ	率	Percent
ぼう	妨	Obstruct
ゆう	裕	Abundant
び	尾	Tail
けん	嫌	Dislike
くさ	臭	Stinking
あな	穴	Hole
てき	敵	Enemy
きょ	挙	Raise
は	派	Sect
そ	素	Element
ひょう	評	Evaluate
ひ	批	Criticism
けん	検	Examine
しん	審	Judge
じょう	条	Clause
き	企	Plan
ぎ	義	Righteousness
ばつ	罰	Penalty
たん	誕	Birth
だつ	脱	Undress
みや	宮	Shinto Shrine
あん	案	Plan
か	価	Value
とう	統	Unite
さく	策	Plan
ふじ	藤	Wisteria
し	姿	Figure
おう	応	Respond
てい	提	Present
えん	援	Aid
たい	態	Appearance
が	賀	Congratulations
き	鬼	Demon
ご	護	Defend
さい	裁	Judge
さき	崎	Cape
かん	看	Watch Over
かん	幹	Tree Trunk
ちょう	張	Stretch
たく	沢	Swamp
し	施	Carry Out
はい	俳	Haiku
しゅう	秀	Excel
せい	製	Manufacture
せま	狭	Narrow
さい	載	Publish
し	視	Look At
かん	環	Loop
てん	展	Expand
かぶ	株	Stocks
えい	影	Shadow
きょう	響	Echo
ひょう	票	Ballot
そ	訴	Sue
しょう	訟	Lawsuit
たい	逮	Apprehend
も	模	Imitation
せん	鮮	Fresh
ぞく	属	Belong
ひ	肥	Obese
こう	絞	Strangle
はい	輩	Comrade
いん	隠	Hide
じゅ	授	Instruct
そう	創	Create
おう	往	Depart
かく	較	Contrast
えん	鉛	Lead
こ	故	Circumstance
しょう	障	Hinder
じゅう	従	Obey
が	我	I
げき	激	Fierce
れい	励	Encourage
とう	討	Chastise
ちょう	徴	Indication
かい	怪	Suspicious
じゅう	獣	Beast
しん	振	Shake
ぶた	豚	Pork
どく	独	Alone
くつ	屈	Yield
か	暇	Spare Time
しき	織	Weave
わく	惑	Misguided
ゆう	誘	Invite
しゅう	就	Settle In
すい	睡	Drowsy
しょう	症	Symptom
てい	締	Tighten
はく	迫	Urge
たん	端	Edge
けん	健	Healthy
こう	康	Ease
ろう	郎	Guy
ち	稚	Immature
はく	博	Exhibition
けつ	潔	Pure
たい	隊	Squad
しゅう	修	Discipline
き	奇	Odd
みょう	妙	Strange
れい	麗	Lovely
び	微	Delicate
えき	益	Benefit
けん	憲	Constitution
しゅう	衆	Populace
かさ	傘	Umbrella
はま	浜	Beach
げき	撃	Attack
こう	攻	Aggression
き	綺	Beautiful
かん	監	Oversee
さい	催	Sponsor
そく	促	Urge
え	江	Inlet
せい	請	Request
ゆう	雄	Male
