"とう";刀;"とう:on, かたな:kun"
"また";又;"また:kun"
"ちょう";丁;"ちょう:on, てい:on"
"や";矢;"や:kun, し:on"
"よう";羊;"よう:on, ひつじ:kun"
"し";氏;"し:on, うじ:kun"
"か";仮;"か:on, かり:kun"
"ほ";保;"ほ:on, たも:kun"
"きゅう";級;"きゅう:on"
"こう";功;"こう:on"
"ぼく";僕;"ぼく:on"
"だい";第;"だい:on"
"あつ";暑;"あつ:kun, しょ:on"
"よう";養;"よう:on, やしな:kun"
"せい";整;"せい:on, ととの:kun"
"し";詩;"し:on, うた:kun"
"き";器;"き:on, うつわ:kun"
"し";士;"し:on, さむらい:kun"
"ひょう";標;"ひょう:on, しるし:kun"
"かがみ";鏡;"かがみ:kun, きょう:on"
"しゃ";謝;"しゃ:on, あやま:kun"
"まつ";松;"まつ:kun, しょう:on"
"ふん";雰;"ふん:on"
"だ";妥;"だ:on"
"がん";頑;"がん:on"
"き";基;"き:on, もと:kun"
"し";司;"し:on, つかさど:kun"
"な";泣;"な:kun, きゅう:on"
"き";紀;"き:on"
"てん";典;"てん:on"
"べん";弁;"べん:on"
"しょう";証;"しょう:on, あかし:kun"
"ぼう";冒;"ぼう:on, おか:kun"
"じょう";冗;"じょう:on"
"うめ";梅;"うめ:kun, ばい:on"
"けつ";結;"けつ:on, むす:kun, ゆ:kun"
"ぜ";是;"ぜ:on"
"しょう";渉;"しょう:on, わた:kun"
"きょ";虚;"きょ:on, こ:on, むな:kun"
"げん";幻;"げん:on, まぼろし:kun"
"しょう";詳;"しょう:on, くわ:kun"
"きゅう";弓;"きゅう:on, ゆみ:kun"
"き";汽;"き:on"
"そう";僧;"そう:on"
"ぜん";禅;"ぜん:on"
"く";句;"く:on"
"せつ";節;"せつ:on, ふし:kun"
"こん";昆;"こん:on"
"ばつ";閥;"ばつ:on"
"した";舌;"した:kun, ぜつ:on"
"ちゅう";宙;"ちゅう:on"
"り";履;"り:on, は:kun"
"ぜん";善;"ぜん:on"
"てき";笛;"てき:on, ふえ:kun"
"さい";災;"さい:on, わざわ:kun"
"りつ";率;"りつ:on, そつ:on, ひき:kun"
"ぼう";妨;"ぼう:on, さまた:kun"
"ゆう";裕;"ゆう:on"
"び";尾;"び:on, お:kun, ぽ:kun"
"けん";嫌;"けん:on, げん:on, いや:kun, きら:kun"
"くさ";臭;"くさ:kun, しゅう:on"
"あな";穴;"あな:kun, けつ:on"
"てき";敵;"てき:on, かな:kun, かたき:kun"
"きょ";挙;"きょ:on, あ:kun"
"は";派;"は:on"
"そ";素;"そ:on, す:on"
"ひょう";評;"ひょう:on"
"ひ";批;"ひ:on"
"けん";検;"けん:on"
"しん";審;"しん:on"
"じょう";条;"じょう:on"
"き";企;"き:on, くわだ:kun"
"ぎ";義;"ぎ:on"
"ばつ";罰;"ばつ:on"
"たん";誕;"たん:on"
"だつ";脱;"だつ:on, ぬ:kun"
"みや";宮;"みや:kun, きゅう:on"
"あん";案;"あん:on"
"か";価;"か:on, あたい:kun"
"とう";統;"とう:on, す:kun"
"さく";策;"さく:on"
"ふじ";藤;"ふじ:kun, とう:on, どう:on"
"し";姿;"し:on, すがた:kun"
"おう";応;"おう:on"
"てい";提;"てい:on"
"えん";援;"えん:on"
"たい";態;"たい:on, わざ:kun"
"が";賀;"が:on"
"き";鬼;"き:on, おに:kun"
"ご";護;"ご:on"
"さい";裁;"さい:on, さば:kun, た:kun"
"さき";崎;"さき:kun, き:on"
"かん";看;"かん:on"
"かん";幹;"かん:on, みき:kun"
"ちょう";張;"ちょう:on, は:kun"
"たく";沢;"たく:on, さわ:kun"
"し";施;"し:on, せ:on, ほどこ:kun"
"はい";俳;"はい:on"
"しゅう";秀;"しゅう:on, ひい:kun"
"せい";製;"せい:on"
"せま";狭;"せま:kun, せば:kun, きょう:on"
"さい";載;"さい:on, の:kun"
"し";視;"し:on, み:kun"
"かん";環;"かん:on"
"てん";展;"てん:on, のぶ:kun, のび:kun"
"かぶ";株;"かぶ:kun, しゅ:on"
"えい";影;"えい:on, かげ:kun"
"きょう";響;"きょう:on, ひび:kun"
"ひょう";票;"ひょう:on"
"そ";訴;"そ:on, うった:kun"
"しょう";訟;"しょう:on"
"たい";逮;"たい:on"
"も";模;"も:on, ぼ:on"
"せん";鮮;"せん:on, あざ:kun"
"ぞく";属;"ぞく:on"
"ひ";肥;"ひ:on, こ:kun, こえ:kun"
"こう";絞;"こう:on, し:kun, しぼ:kun"
"はい";輩;"はい:on"
"いん";隠;"いん:on, かく:kun"
"じゅ";授;"じゅ:on, さず:kun"
"そう";創;"そう:on"
"おう";往;"おう:on"
"かく";較;"かく:on, こう:on"
"えん";鉛;"えん:on, なまり:kun"
"こ";故;"こ:on, ゆえ:kun"
"しょう";障;"しょう:on, さわ:kun"
"じゅう";従;"じゅう:on, したが:kun"
"が";我;"が:on, われ:kun, わ:kun"
"げき";激;"げき:on, はげ:kun"
"れい";励;"れい:on, はげ:kun"
"とう";討;"とう:on"
"ちょう";徴;"ちょう:on"
"かい";怪;"かい:on, け:on, あや:kun"
"じゅう";獣;"じゅう:on, けもの:kun"
"しん";振;"しん:on, ふ:kun"
"ぶた";豚;"ぶた:kun, とん:on"
"どく";独;"どく:on, ひと:kun"
"くつ";屈;"くつ:on, かが:kun"
"か";暇;"か:on, ひま:kun, いとま:kun"
"しき";織;"しき:on, しょく:on, お:kun"
"わく";惑;"わく:on, まど:kun"
"ゆう";誘;"ゆう:on, さそ:kun"
"しゅう";就;"しゅう:on, つ:kun"
"すい";睡;"すい:on"
"しょう";症;"しょう:on"
"てい";締;"てい:on, し:kun"
"はく";迫;"はく:on, せま:kun"
"たん";端;"たん:on, はし:kun, はた:kun"
"けん";健;"けん:on"
"こう";康;"こう:on"
"ろう";郎;"ろう:on"
"ち";稚;"ち:on"
"はく";博;"はく:on, ばく:on"
"けつ";潔;"けつ:on, いさぎよ:kun"
"たい";隊;"たい:on"
"しゅう";修;"しゅう:on, おさ:kun"
"き";奇;"き:on"
"みょう";妙;"みょう:on, たえ:kun"
"れい";麗;"れい:on, うるわ:kun"
"び";微;"び:on, かす:kun"
"えき";益;"えき:on"
"けん";憲;"けん:on"
"しゅう";衆;"しゅう:on"
"かさ";傘;"かさ:kun, さん:on"
"はま";浜;"はま:kun, ひん:on"
"げき";撃;"げき:on, う:kun"
"こう";攻;"こう:on, せ:kun"
"き";綺;"き:on"
"かん";監;"かん:on"
"さい";催;"さい:on, もよお:kun"
"そく";促;"そく:on, うなが:kun"
"え";江;"え:kun, こう:on"
"せい";請;"せい:on, しん:on, しょう:on, う:kun, こ:kun"
"ゆう";雄;"ゆう:on, おす:kun"
"かい";壊;"かい:on, こわ:kun"
"しん";診;"しん:on, み:kun"
"かく";閣;"かく:on"
"りょう";僚;"りょう:on"
"とく";督;"とく:on"
"がい";街;"がい:on, かい:on, まち:kun"
"しゅう";宗;"しゅう:on"
"きん";緊;"きん:on"
"えん";宴;"えん:on, うたげ:kun"
"てん";添;"てん:on, そ:kun"
"もう";猛;"もう:on"
"れつ";烈;"れつ:on, はげ:kun"
"さく";索;"さく:on"
"み";魅;"み:on"
"かわ";渇;"かわ:kun, かつ:on"
"けい";系;"けい:on"
"き";旗;"き:on, はた:kun"
"ぼう";乏;"ぼう:on, とぼ:kun"
"らん";覧;"らん:on"
"なつ";懐;"なつ:kun, かい:on"
"ろう";漏;"ろう:on, も:kun"
"こう";購;"こう:on"
"しょく";飾;"しょく:on, かざ:kun"
"そう";騒;"そう:on, さわ:kun"
"さつ";撮;"さつ:on, と:kun"
"り";離;"り:on, はな:kun"
"ゆう";融;"ゆう:on"
"か";華;"か:on, はな:kun"
"き";既;"き:on, すで:kun"
"ごう";豪;"ごう:on"
"かん";鑑;"かん:on, かんが:kun"
"じん";尋;"じん:on, たず:kun, ひろ:kun"
"ろう";廊;"ろう:on"
"きょう";驚;"きょう:on, おどろ:kun"
"たん";嘆;"たん:on, なげ:kun"
"そう";倉;"そう:on, くら:kun"
"す";巣;"す:kun, そう:on"
"けい";径;"けい:on"
"きゅう";救;"きゅう:on, すく:kun"
"みゃく";脈;"みゃく:on"
"ぼ";墓;"ぼ:on, はか:kun"
"とく";徳;"とく:on"
"てい";偵;"てい:on"
"じょ";序;"じょ:on, つい:kun, ついで:kun"
"し";志;"し:on, こころざし:kun"
"おん";恩;"おん:on"
"さくら";桜;"さくら:kun, おう:on, よう:on"
"がん";眼;"がん:on, め:kun"
"きょう";興;"きょう:on, こう:on"
"えい";衛;"えい:on"
"さん";酸;"さん:on, す:kun"
"せん";銭;"せん:on, ぜに:kun"
"か";飼;"か:kun, し:on"
"しょう";傷;"しょう:on, きず:kun, いた:kun"
"げん";厳;"げん:on, ごん:on, きび:kun, おごそ:kun"
"みつ";密;"みつ:on, ひそ:kun"
"だん";暖;"だん:on, あたた:kun"
"ひ";秘;"ひ:on, ひ:kun"
"やく";訳;"やく:on, わけ:kun"
"せん";染;"せん:on, しみ:kun, そ:kun, し:kun"
"きん";筋;"きん:on, すじ:kun"
"すい";垂;"すい:on, た:kun"
"せん";宣;"せん:on, のたま:kun"
"ちゅう";忠;"ちゅう:on"
"かく";拡;"かく:on, ひろ:kun"
"そう";操;"そう:on, あやつ:kun, みさお:kun"
"じゅく";熟;"じゅく:on, う:kun"
"い";異;"い:on, こと:kun"
"こう";皇;"こう:on"
"せい";盛;"せい:on, じょう:on, も:kun, さか:kun"
"ばく";漠;"ばく:on"
"とう";糖;"とう:on"
"のう";納;"のう:on, おさ:kun, なっ:kun"
"はい";肺;"はい:on"
"ちん";賃;"ちん:on"
"き";貴;"き:on, とうと:kun"
"は";吐;"は:kun, つ:kun, と:on"
"ど";奴;"ど:on, やつ:kun"
"れい";隷;"れい:on"
"いも";芋;"いも:kun"
"しゅく";縮;"しゅく:on, ちぢ:kun, ちじ:kun"
"たて";縦;"たて:kun, じゅう:on"
"すい";粋;"すい:on, いき:kun"
"せい";聖;"せい:on"
"じ";磁;"じ:on"
"しゃ";射;"しゃ:on, い:kun, さ:kun, う:kun"
"まく";幕;"まく:on, ばく:on, とばり:kun"
"せん";薦;"せん:on, すす:kun"
"すい";推;"すい:on, お:kun"
"き";揮;"き:on"
"えん";沿;"えん:on, そ:kun"
"げん";源;"げん:on, みなもと:kun"
"かん";歓;"かん:on"
"とう";豆;"とう:on, まめ:kun"
"ふ";腐;"ふ:on, くさ:kun"
"ちょう";彫;"ちょう:on, ほ:kun"
"しゃ";舎;"しゃ:on"
"たい";滞;"たい:on, とどこお:kun"
"こ";己;"こ:on, き:on, おのれ:kun"
"やく";厄;"やく:on"
