"たま";玉;"たま:kun, ぎょく:on"
"りょう";了;"りょう:on"
"まる";丸;"まる:kun, がん:on"
"と";戸;"と:kun, こ:on"
"もう";毛;"もう:on, け:kun"
"おう";央;"おう:on"
"こおり";氷;"こおり:kun, ひょう:on"
"たけ";竹;"たけ:kun"
"むら";村;"むら:kun, そん:on"
"かい";貝;"かい:kun"
"さら";皿;"さら:kun"
"いと";糸;"いと:kun, し:on"
"むし";虫;"むし:kun, ちゅう:on, き:on"
"ほう";宝;"ほう:on, たから:kun"
"かく";角;"かく:on, かど:kun, つの:kun"
"むぎ";麦;"むぎ:kun, ばく:on"
"ひ";皮;"ひ:on, かわ:kun"
"はね";羽;"はね:kun, は:kun, わ:kun, う:on"
"たに";谷;"たに:kun, こく:on, せ:nan"
"はやし";林;"はやし:kun, りん:on"
"しゅう";州;"しゅう:on"
"けつ";血;"けつ:on, ち:kun"
"せい";星;"せい:on, ほし:kun"
"さつ";札;"さつ:on, ふだ:kun"
"へん";辺;"へん:on, あた:kun, べ:kun"
"じゃく";弱;"じゃく:on, よわ:kun"
"き";黄;"き:kun, おう:on"
"ち";池;"ち:on, いけ:kun"
"もり";森;"もり:kun, しん:on"
"くも";雲;"くも:kun, うん:on"
"けん";県;"けん:on"
"かる";軽;"かる:kun, かろ:kun, けい:on"
"のう";農;"のう:on"
"てつ";鉄;"てつ:on"
"さん";算;"さん:on, そろ:kun"
"せん";線;"せん:on"
"なか";仲;"なか:kun, ちゅう:on"
"てい";低;"てい:on, ひく:kun"
"れい";令;"れい:on"
"は";波;"は:on, なみ:kun"
"きょう";競;"きょう:on, けい:on, きそ:kun"
"がん";岸;"がん:on, きし:kun"
"ひろ";拾;"ひろ:kun, しゅう:on"
"びょう";秒;"びょう:on"
"しょう";章;"しょう:on"
"こん";根;"こん:on, ね:kun"
"ばい";倍;"ばい:on"
"しま";島;"しま:kun, とう:on"
"さい";祭;"さい:on, まつり:kun, まつ:kun"
"どう";童;"どう:on"
"かい";階;"かい:on"
"しょく";植;"しょく:on, う:kun"
"おん";温;"おん:on, あたた:kun"
