きゅう	旧	きゅう:on
せい	姓	せい:on, しょう:on
ぼう	貿	ぼう:on
しょう	将	しょう:on
めい	盟	めい:on
い	遺	い:on, のこ:kun
の	伸	の:kun, しん:on
さい	債	さい:on
きゅう	及	きゅう:on, およ:kun
な	奈	な:on
はば	幅	はば:kun, ふく:on
はい	廃	はい:on, すた:kun
あま	甘	あま:kun, かん:on
かん	換	かん:on, か:kun
てき	摘	てき:on, つ:kun
かく	核	かく:on
おき	沖	おき:kun, ちゅう:on
じょう	縄	じょう:on, なわ:kun
つ	津	つ:kun, しん:on
けん	献	けん:on, こん:on, たてまつ:kun
りょう	療	りょう:on
けい	継	けい:on, つ:kun
い	維	い:on
ぶ	舞	ぶ:on, まい:kun, ま:kun
き	伎	き:on, わざ:kun
とう	踏	とう:on, ふ:kun
はん	般	はん:on
らい	頼	らい:on, たの:kun, たよ:kun
い	依	い:on, よ:kun
か	鹿	か:kun, ろく:on, しか:kun
だく	諾	だく:on
げ	牙	げ:on, が:on, きば:kun
ちょう	超	ちょう:on, こ:kun
さけ	鮭	さけ:kun, しゃけ:kun
ちょう	跳	ちょう:on, と:kun, は:kun
しょう	昭	しょう:on
ぎょ	漁	ぎょ:on, りょう:on, あさ:kun
しょう	償	しょう:on, つぐな:kun
けい	刑	けい:on
ぼ	募	ぼ:on, つの:kun
しゅう	執	しゅう:on, しつ:on, と:kun
るい	塁	るい:on
ほう	崩	ほう:on, くず:kun
かん	患	かん:on, わずら:kun
もど	戻	もど:kun, れい:on
こう	抗	こう:on, あらが:kun
てい	抵	てい:on
しゅん	旬	しゅん:on, じゅん:on
わん	湾	わん:on
ばく	爆	ばく:on, は:kun
だん	弾	だん:on, ひ:kun, はず:kun, たま:kun
ちょう	聴	ちょう:on, き:kun
せき	跡	せき:on, あと:kun
けん	遣	けん:on, つか:kun, や:kun
とう	闘	とう:on, たたか:kun
じん	陣	じん:on
こう	香	こう:on, きょう:on, かお:kun, か:kun
ちょう	兆	ちょう:on, きざ:kun
りん	臨	りん:on, のぞ:kun
さく	削	さく:on, けず:kun
けい	契	けい:on
え	恵	え:on, けい:on, めぐ:kun
だ	抱	だ:kun, ほう:on, かか:kun, いだ:kun
けい	掲	けい:on, かか:kun
そ	狙	そ:on, ねら:kun
そう	葬	そう:on, ほうむ:kun
くし	串	くし:kun
み	眉	み:on, び:on, まゆ:kun
じゅ	需	じゅ:on
れい	齢	れい:on, よわい:kun
よろ	宜	よろ:kun, ぎ:on
く	繰	く:kun, そう:on
ひ	避	ひ:on, さ:kun, よ:kun
にん	妊	にん:on
しん	娠	しん:on
ち	致	ち:on, いた:kun
かん	刊	かん:on
そう	奏	そう:on, かな:kun
はん	伴	はん:on, ともな:kun
へい	併	へい:on, あわ:kun
けい	傾	けい:on, かたむ:kun
きゃく	却	きゃく:on, かえって:kun
おく	奥	おく:kun, おう:on
りょ	慮	りょ:on, おもんぱく:kun, おもんぱか:kun
けん	懸	けん:on, か:kun
ぼう	房	ぼう:on, ふさ:kun
あつか	扱	あつか:kun, きゅう:on
よく	抑	よく:on, おさ:kun
たく	択	たく:on, えら:kun
