すみ	墨	すみ:kun
はと	鳩	はと:kun, く:on
おん	穏	おん:on, おだ:kun
どん	鈍	どん:on, にぶ:kun, のろ:kun
ま	魔	ま:on
りょう	寮	りょう:on
ぼん	盆	ぼん:on
とう	棟	とう:on
わが	吾	わが:kun, ご:on
ざん	斬	ざん:on, き:kun
ねい	寧	ねい:on, むし:kun
い	椅	い:on
さい	歳	さい:on, せい:on
りょう	涼	りょう:on, すず:kun
さる	猿	さる:kun, えん:on
どう	瞳	どう:on, とう:on, ひとみ:kun
かぎ	鍵	かぎ:kun, けん:on
れい	零	れい:on, こぼ:kun
ご	碁	ご:on
そ	租	そ:on
ゆう	幽	ゆう:on
ほう	泡	ほう:on, あわ:kun
くせ	癖	くせ:kun, へき:on
たん	鍛	たん:on, きた:kun
れん	錬	れん:on, ね:kun
ほ	穂	ほ:kun, すい:on
てい	帝	てい:on, みかど:kun
しゅん	瞬	しゅん:on, またた:kun
きく	菊	きく:on
こ	誇	こ:on, ほこ:kun
しょう	庄	しょう:on
そ	阻	そ:on, はば:kun
もく	黙	もく:on, だま:kun
ひょう	俵	ひょう:on, たわら:kun
めん	綿	めん:on, わた:kun
か	架	か:on, か:kun
こう	孔	こう:on, あな:kun
さい	砕	さい:on, くだ:kun
ねん	粘	ねん:on, ねば:kun
しょう	粧	しょう:on
ぎ	欺	ぎ:on, あざむ:kun
さ	詐	さ:on, いつわ:kun
きり	霧	きり:kun, む:on
りゅう	柳	りゅう:on, やなぎ:kun
い	伊	い:on, だ:kun
さ	佐	さ:on
しゃく	尺	しゃく:on
あい	哀	あい:on, あわ:kun
くちびる	唇	くちびる:kun, しん:on
へい	塀	へい:on
つい	墜	つい:on
じょ	如	じょ:on, ごと:kun
ば	婆	ば:on, ばあ:kun
がい	崖	がい:on, がけ:kun
ぼう	帽	ぼう:on
へい	幣	へい:on
こん	恨	こん:on, うら:kun
ぞう	憎	ぞう:on, にく:kun
けい	憩	けい:on, いこ:kun
せん	扇	せん:on, おうぎ:kun, あお:kun
ひ	扉	ひ:on, とびら:kun
そう	挿	そう:on, さ:kun
しょう	掌	しょう:on, てのひら:kun
てき	滴	てき:on, したた:kun, しずく:kun
すい	炊	すい:on, た:kun
さわ	爽	さわ:kun, そう:on
じょう	畳	じょう:on, たたみ:kun
りょう	瞭	りょう:on
はし	箸	はし:kun, ちゃく:on
どう	胴	どう:on
しん	芯	しん:on
にじ	虹	にじ:kun, こう:on
きん	巾	きん:on
ちょう	帳	ちょう:on, とばり:kun
か	蚊	か:kun
へび	蛇	へび:kun, じゃ:on
は	貼	は:kun, ちょう:on
じょく	辱	じょく:on, はずかし:kun
はち	鉢	はち:on
やみ	闇	やみ:kun, あん:on, おん:on
すき	隙	すき:kun, げき:on
しも	霜	しも:kun
き	飢	き:on, う:kun
が	餓	が:on, う:kun
ちく	畜	ちく:on
じん	迅	じん:on
き	騎	き:on
ちく	蓄	ちく:on, たくわ:kun
じん	尽	じん:on, つ:kun
さい	彩	さい:on, いろど:kun, あや:nan
おく	憶	おく:on
よう	溶	よう:on, と:kun
たい	耐	たい:on, た:kun
おど	踊	おど:kun, よう:on
