いち	一	一: 500, 一: 500
ひとつ	一つ	一: 500, 一: 500
ひとり	一人	一: 500, 人: 500, 一: 500
いっせん	一千	一: 500, 千: 500, 一: 500
いちがつ	一月	一: 500, 月: 500, 一: 500
いちにち	一日	一: 500, 日: 500, 一: 500
いちまん	一万	一: 500, 万: 500, 一: 500
いちだい	一台	一: 500, 台: 500, 一: 500
いちもんじ	一文字	一: 500, 文: 500, 字: 500, 一: 500
いちねんせい	一年生	一: 500, 年: 500, 生: 500, 一: 500
いっき	一気	一: 500, 気: 500, 一: 500
いっぽんぎ	一本気	一: 500, 本: 500, 気: 500, 一: 500
いちだい	一代	一: 500, 代: 500, 一: 500
いちだ	一打	一: 500, 打: 500, 一: 500
いっかい	一回	一: 500, 回: 500, 一: 500
いっしょう	一生	一: 500, 生: 500, 一: 500
いっぽ	一歩	一: 500, 歩: 1000, 一: 500
いちじ	一時	一: 500, 時: 500, 一: 500
いったい	一体	一: 500, 体: 500, 一: 500
いっきん	一斤	一: 500, 斤: None, 一: 500
いちばん	一番	一: 500, 番: 500, 一: 500
いちばんめ	一番目	一: 500, 番: 500, 目: 500, 一: 500
なな	七	七: 500, 七: 500
ななつ	七つ	七: 500, 七: 500
なのか	七日	七: 500, 日: 500, 七: 500
にまん	二万	二: 500, 万: 500, 二: 500
じゅうまん	十万	十: 500, 万: 500, 十: 500
まん	万	万: 500, 万: 500
ひゃくまん	百万	百: 500, 万: 500, 百: 500
ばんにん	万人	万: 500, 人: 500, 万: 500
さん	三	三: 500, 三: 500
みっつ	三つ	三: 500, 三: 500
さんにん	三人	三: 500, 人: 500, 三: 500
みっか	三日	三: 500, 日: 500, 三: 500
さんせい	三世	三: 500, 世: 500, 三: 500
さんかく	三角	三: 500, 角: 1000, 三: 500
さんびゃく	三百	三: 500, 百: 500, 三: 500
さんかくけい	三角形	三: 500, 角: 1000, 形: 500, 三: 500
うえ	上	上: 500, 上: 500
あげる	上げる	上: 500, 上: 500
あがる	上がる	上: 500, 上: 500
のぼる	上る	上: 500, 上: 500
じょうず	上手	上: 500, 手: 500, 上: 500
としうえ	年上	年: 500, 上: 500, 年: 500
いじょう	以上	以: 500, 上: 500, 以: 500
できあがる	出来上がる	出: 500, 来: 500, 上: 500, 出: 500
ちじょう	地上	地: 500, 上: 500, 地: 500
した	下	下: 500, 下: 500
さがる	下がる	下: 500, 下: 500
さげる	下げる	下: 500, 下: 500
ください	下さい	下: 500, 下: 500
へた	下手	下: 500, 手: 500, 下: 500
したまち	下町	下: 500, 町: 500, 下: 500
ちか	地下	地: 500, 下: 500, 地: 500
としした	年下	年: 500, 下: 500, 年: 500
いか	以下	以: 500, 下: 500, 以: 500
ちかてつ	地下鉄	地: 500, 下: 500, 鉄: 1000, 地: 500
ふそく	不足	不: 500, 足: 500, 不: 500
ふせい	不正	不: 500, 正: 500, 不: 500
ふあん	不安	不: 500, 安: 500, 不: 500
ふめい	不明	不: 500, 明: 500, 不: 500
ふにんき	不人気	不: 500, 人: 500, 気: 500, 不: 500
ふじゆう	不自由	不: 500, 自: 500, 由: 500, 不: 500
よ	世	世: 500, 世: 500
にせい	二世	二: 500, 世: 500, 二: 500
よのなか	世の中	世: 500, 中: 500, 世: 500
せかい	世界	世: 500, 界: 500, 世: 500
りょうて	両手	両: 500, 手: 500, 両: 500
りょうじつ	両日	両: 500, 日: 500, 両: 500
りょうほう	両方	両: 500, 方: 500, 両: 500
しゃりょう	車両	車: 500, 両: 500, 車: 500
りょうしゃ	両者	両: 500, 者: 500, 両: 500
なか	中	中: 500, 中: 500
なかなか	中々	中: 500, 中: 500
すいちゅう	水中	水: 500, 中: 500, 水: 500
ちゅうし	中止	中: 500, 止: 500, 中: 500
ちゅうこ	中古	中: 500, 古: 1000, 中: 500
ねんじゅう	年中	年: 500, 中: 500, 年: 500
ちゅうおう	中央	中: 500, 央: 1000, 中: 500
ちゅうごく	中国	中: 500, 国: 500, 中: 500
ちゅうとう	中東	中: 500, 東: 500, 中: 500
ちちゅう	地中	地: 500, 中: 500, 地: 500
